TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2023-03-02 20:35:17,948    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:18,010    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:19,180    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:35:27,703    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:27,704    	LetMeet                                      	EFCoreLogs-myClusteredCache                	11                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:27,705    	LetMeet                                      	EFCoreLogs-myClusteredCache                	11                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:35:28,453    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:28,454    	LetMeet                                      	EFCoreLogs-myClusteredCache                	8                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:28,455    	LetMeet                                      	EFCoreLogs-myClusteredCache                	8                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:35:28,980    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:28,982    	LetMeet                                      	EFCoreLogs-myClusteredCache                	8                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:28,983    	LetMeet                                      	EFCoreLogs-myClusteredCache                	8                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:35:29,382    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:29,384    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:29,385    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:35:29,639    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:29,640    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:29,641    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:35:29,839    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:29,841    	LetMeet                                      	EFCoreLogs-myClusteredCache                	13                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:29,842    	LetMeet                                      	EFCoreLogs-myClusteredCache                	13                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:35:30,006    	LetMeet                                      	EFCoreLogs-myClusteredCache                	13                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:30,009    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:30,010    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:35:32,845    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:32,847    	LetMeet                                      	EFCoreLogs-myClusteredCache                	11                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:32,847    	LetMeet                                      	EFCoreLogs-myClusteredCache                	11                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
END 
