TIMESTAMP                  	APPDOMAIN                                    	LOGGERNAME                                 	THREADNAME                                	LEVEL    	MESSAGE
2023-03-02 20:35:51,944    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:52,002    	LetMeet                                      	EFCoreLogs-myClusteredCache                	8                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:53,166    	LetMeet                                      	EFCoreLogs-myClusteredCache                	8                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:35:55,930    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:55,931    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:55,932    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:35:56,622    	LetMeet                                      	EFCoreLogs-myClusteredCache                	16                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:56,624    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:56,624    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:35:56,823    	LetMeet                                      	EFCoreLogs-myClusteredCache                	16                                        	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:56,825    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:56,826    	LetMeet                                      	EFCoreLogs-myClusteredCache                	3                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:35:56,986    	LetMeet                                      	EFCoreLogs-myClusteredCache                	8                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:56,987    	LetMeet                                      	EFCoreLogs-myClusteredCache                	16                                        	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:56,988    	LetMeet                                      	EFCoreLogs-myClusteredCache                	16                                        	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
2023-03-02 20:35:57,136    	LetMeet                                      	EFCoreLogs-myClusteredCache                	5                                         	INFO     	NCache EF Core Provider	:	Async operation requested.
2023-03-02 20:35:57,137    	LetMeet                                      	EFCoreLogs-myClusteredCache                	8                                         	INFO     	NCache EF Core Provider	:	Performing FromCache for Microsoft.EntityFrameworkCore.Query.Internal.EntityQueryable`1[LetMeet.Data.Entites.UsersInfo.UserInfo] with options CachingOptions = { AbsoluteExpirationTime = '12/31/9999 11:59:59 PM', SlidingExpirationTime = '00:00:00', ExpirationType = 'None', QueryIdentifier = '', StoreAs = 'Collection', Priority = 'Default', CreateDbDependency = 'False' }.
2023-03-02 20:35:57,138    	LetMeet                                      	EFCoreLogs-myClusteredCache                	8                                         	INFO     	NCache EF Core Provider	:	ExpressionToString '[Microsoft.EntityFrameworkCore.Query.QueryRootExpression].Where(Extent1 => True).Skip(0).Take(5)'
